,Data_Source,Airline_Name,Aircraft_Type,Cabin_Class,Type_Of_Lounge,Type_Of_Traveller,Date_Visit,Date_Flown,Airport,Route,Cabin_Staff_Service,Lounge_Staff_Service,Bar_And_Beverages,Food_And_Beverages,Ground_Service,Catering,Cleanliness,Comfort,Aisle_Space,Wifi_And_Connectivity,Inflight_Entertainment,Viewing_Tv_Screen,Power_Supply,Seat,Seat_Type,Seat_Comfort,Seat_Legroom,Seat_Storage,Seat_Width,Seat_Recline,Washrooms,Value_For_Money,Overall_Customer_Rating,Recommended,Date_Review,Review,Sentence,LABEL_SEAT,LABEL_BED,LABEL_IFE,LABEL_FOOD,LABEL_NOISE,LABEL_TEMPERATURE,LABEL_HUMIDITY,LABEL_CABIN CREW,LABEL_LAVATORY SPACE,LABEL_PRICE,LABEL_LOST BAGGAGE,LABEL_CHECK IN,LABEL_PUNCTUALITY,LABEL_ATTRACTIVE AIRCRAFT,LABEL_SAV,LABEL_BOARDING,LABEL_GENERAL,Unnamed: 54
11,Airline Quality Airline,aegean-airlines,A320 / A321,Economy Class,,Couple Leisure,,September 2014,,Arlanda to Santorini via Athens,4,,,4,4,,,,,,,,,,,4,,,,,,5,9,yes,16th June 2015,Very good flight  nice to be offered a hot meal on the ARN-ATH leg with complimentary drinks (two rounds)  nice and rather spacious seats and legroom on the ARN-ATH leg  On the ATH-JTK / JTK-ATH Leg they used a A321 with cramped max tight config so almost no legroom  but it is a very short flight so it was ok  only a small snack  no drinks but I dont think they would have time to serve on this short flight. ATH-ARN was again great legroom and also served a hot breakfast. For what we pay it is great value  far better than many other competing airlines  the planes are also new and clean. Only drawback is that there is no entertainment provided on the 3 hr flight  why not show a movie.,only drawback is that there is no entertainment provided on the 3 hr flight  why not show a movie,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,Airline Quality Airline,aegean-airlines,,Economy Class,,,,,,,5,,,5,,,,,,,0,,,,,5,,,,,,5,1,yes,29th September 2013,We flew from Athens to Rhodes 2 weeks ago fantastic airline short flight had sweets and soft drinks plenty of leg room.,we flew from athens to rhodes 2 weeks ago fantastic airline short flight had sweets and soft drinks plenty of leg room,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,
13,Airline Quality Airline,aegean-airlines,,Economy Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,yes,13th October 2011,Staff excellent customer service oriented meals are good and the planes are new. The seats are comfortable and lounge in Athens has a smoking area that is not packed.,staff excellent customer service oriented meals are good and the planes are new,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
14,Airline Quality Airline,aegean-airlines,,Economy Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,yes,13th October 2011,Staff excellent customer service oriented meals are good and the planes are new. The seats are comfortable and lounge in Athens has a smoking area that is not packed.,the seats are comfortable and lounge in athens has a smoking area that is not packed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,Airline Quality Airline,aegean-airlines,,Economy Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,yes,12th August 2011,Professional service. There was a delay of 1 hour from Crete to Athens however we received a voucher for a free domestic flight.,professional service,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
16,Airline Quality Airline,aegean-airlines,,Economy Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,yes,12th August 2011,Professional service. There was a delay of 1 hour from Crete to Athens however we received a voucher for a free domestic flight.,there was a delay of 1 hour from crete to athens however we received a voucher for a free domestic flight,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,
17,Airline Quality Airline,aegean-airlines,,Economy Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,yes,19th August 2010,Istanbul to Athens - the best flight with the most courteous flight attendants I have flown in the past 20 years. Keep up the excellent service.,istanbul to athens - the best flight with the most courteous flight attendants i have flown in the past 20 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
18,Airline Quality Airline,aegean-airlines,,Economy Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,yes,19th August 2010,Istanbul to Athens - the best flight with the most courteous flight attendants I have flown in the past 20 years. Keep up the excellent service.,keep up the excellent service,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
19,Airline Quality Airline,aegean-airlines,,Economy Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,yes,25th November 2009,ATH-LHR on A321 was great with nice inflight entertainment. Food average and crew professional.,ath-lhr on a321 was great with nice inflight entertainment,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,Airline Quality Airline,aegean-airlines,,Economy Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,yes,25th November 2009,ATH-LHR on A321 was great with nice inflight entertainment. Food average and crew professional.,food average and crew professional,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
21,Airline Quality Airline,aer-lingus,A320-200,Economy Class,,Solo Leisure,,July 2015,,Dublin to London Heathrow,5,,,3,4,,,,,,2,,,,,4,,,,,,4,8,yes,16th July 2015,Very good experience. Check-in and boarding were quick and efficient. The airplane is very clean and the cabin crew were friendly and helpful. There is a good variety of food sold on the airplane.,very good experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
22,Airline Quality Airline,aer-lingus,A320-200,Economy Class,,Solo Leisure,,July 2015,,Dublin to London Heathrow,5,,,3,4,,,,,,2,,,,,4,,,,,,4,8,yes,16th July 2015,Very good experience. Check-in and boarding were quick and efficient. The airplane is very clean and the cabin crew were friendly and helpful. There is a good variety of food sold on the airplane.,check-in and boarding were quick and efficient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
23,Airline Quality Airline,aer-lingus,A320-200,Economy Class,,Solo Leisure,,July 2015,,Dublin to London Heathrow,5,,,3,4,,,,,,2,,,,,4,,,,,,4,8,yes,16th July 2015,Very good experience. Check-in and boarding were quick and efficient. The airplane is very clean and the cabin crew were friendly and helpful. There is a good variety of food sold on the airplane.,the airplane is very clean and the cabin crew were friendly and helpful,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
24,Airline Quality Airline,aer-lingus,A320-200,Economy Class,,Solo Leisure,,July 2015,,Dublin to London Heathrow,5,,,3,4,,,,,,2,,,,,4,,,,,,4,8,yes,16th July 2015,Very good experience. Check-in and boarding were quick and efficient. The airplane is very clean and the cabin crew were friendly and helpful. There is a good variety of food sold on the airplane.,there is a good variety of food sold on the airplane,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,Airline Quality Airline,aer-lingus,A330,Business Class,,Solo Leisure,,June 2015,,Dublin to San Francisco,5,,,5,4,,,,,,4,,,,,5,,,,,,4,1,yes,13th July 2015,I had a very pleasant experience flying with Aer Lingus. Although the business class is not up to par with most other airlines  it is far from bad and the service was great - Irish hospitality at its best.,i had a very pleasant experience flying with aer lingus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
26,Airline Quality Airline,aer-lingus,A330,Business Class,,Solo Leisure,,June 2015,,Dublin to San Francisco,5,,,5,4,,,,,,4,,,,,5,,,,,,4,1,yes,13th July 2015,I had a very pleasant experience flying with Aer Lingus. Although the business class is not up to par with most other airlines  it is far from bad and the service was great - Irish hospitality at its best.,although the business class is not up to par with most other airlines  it is far from bad and the service was great - irish hospitality at its best,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
27,Airline Quality Airline,aer-lingus,,Economy Class,,,,,,,3,,,3,,,,,,,1,,,,,4,,,,,,4,6,yes,12th October 2014,The flight from JFK to DUB was good the food was very nice however the entertainment is very lacking compared to other carriers - old choices and not a big selection. On the return trip the cabin was freezing and delayed by an hour food wasn't good on way back and entertainment was the same.,the flight from jfk to dub was good the food was very nice however the entertainment is very lacking compared to other carriers - old choices and not a big selection,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,Airline Quality Airline,aer-lingus,,Economy Class,,,,,,,3,,,3,,,,,,,1,,,,,4,,,,,,4,6,yes,12th October 2014,The flight from JFK to DUB was good the food was very nice however the entertainment is very lacking compared to other carriers - old choices and not a big selection. On the return trip the cabin was freezing and delayed by an hour food wasn't good on way back and entertainment was the same.,on the return trip the cabin was freezing and delayed by an hour food wasn't good on way back and entertainment was the same,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,
29,Airline Quality Airline,aeroflot-russian-airlines,,Economy Class,,Business,,August 2019,,Moscow to Kazan,3,,,4,5,,,,,,,,,,,4,,,,,,5,9,yes,4th September 2019,✅ Trip Verified | Another Aeroflot flight  another pleasant surprise. the check in is done early (so no need to rush and departure is in time)  the service was fine (some more smiling would be grand) and we get a very good snack for a 90 min flight (chocolate included.).,✅ trip verified | another aeroflot flight  another pleasant surprise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
30,Airline Quality Airline,aeroflot-russian-airlines,,Economy Class,,Business,,August 2019,,Moscow to Kazan,3,,,4,5,,,,,,,,,,,4,,,,,,5,9,yes,4th September 2019,✅ Trip Verified | Another Aeroflot flight  another pleasant surprise. the check in is done early (so no need to rush and departure is in time)  the service was fine (some more smiling would be grand) and we get a very good snack for a 90 min flight (chocolate included.).,the check in is done early (so no need to rush and departure is in time)  the service was fine (some more smiling would be grand) and we get a very good snack for a 90 min flight (chocolate included,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
31,Airline Quality Airline,aeroflot-russian-airlines,,Economy Class,,Solo Leisure,,January 2017,,PVG to LHR via SVO,2,,,3,1,,,,,1,1,,,,,2,,,,,,1,1,no,7th January 2017,✅ Verified Review |  Aeroflot is based in Russia where bad weather in winter is not uncommon and for pasengers to endure 12 hour delay overnight in Moscow airport due to weather conditions is unacceptable. The worst way of dealing with delayed passengers  offering them a 7EUR voucher for making them miss their correspondance. Overall very poor quality with no inflight entertainment from London to Moscow.,✅ verified review |  aeroflot is based in russia where bad weather in winter is not uncommon and for pasengers to endure 12 hour delay overnight in moscow airport due to weather conditions is unacceptable,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,
32,Airline Quality Airline,aeroflot-russian-airlines,,Economy Class,,Solo Leisure,,January 2017,,PVG to LHR via SVO,2,,,3,1,,,,,1,1,,,,,2,,,,,,1,1,no,7th January 2017,✅ Verified Review |  Aeroflot is based in Russia where bad weather in winter is not uncommon and for pasengers to endure 12 hour delay overnight in Moscow airport due to weather conditions is unacceptable. The worst way of dealing with delayed passengers  offering them a 7EUR voucher for making them miss their correspondance. Overall very poor quality with no inflight entertainment from London to Moscow.,the worst way of dealing with delayed passengers  offering them a 7eur voucher for making them miss their correspondance,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,
33,Airline Quality Airline,aeroflot-russian-airlines,,Economy Class,,Solo Leisure,,January 2017,,PVG to LHR via SVO,2,,,3,1,,,,,1,1,,,,,2,,,,,,1,1,no,7th January 2017,✅ Verified Review |  Aeroflot is based in Russia where bad weather in winter is not uncommon and for pasengers to endure 12 hour delay overnight in Moscow airport due to weather conditions is unacceptable. The worst way of dealing with delayed passengers  offering them a 7EUR voucher for making them miss their correspondance. Overall very poor quality with no inflight entertainment from London to Moscow.,overall very poor quality with no inflight entertainment from london to moscow,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,Airline Quality Airline,aerolineas-argentinas,,Economy Class,,,,,,,1,,,3,,,,,,,1,,,,,1,,,,,,2,2,no,28th January 2012,6 hours delay from Auckland to Buenos Aires and 5 hours delay from Buenos Aires to Auckland. Food was not good the seats were uncomfortable and the TV system rubbish. Staff were not friendly with little customer service skills.,6 hours delay from auckland to buenos aires and 5 hours delay from buenos aires to auckland,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,
35,Airline Quality Airline,aerolineas-argentinas,,Economy Class,,,,,,,1,,,3,,,,,,,1,,,,,1,,,,,,2,2,no,28th January 2012,6 hours delay from Auckland to Buenos Aires and 5 hours delay from Buenos Aires to Auckland. Food was not good the seats were uncomfortable and the TV system rubbish. Staff were not friendly with little customer service skills.,food was not good the seats were uncomfortable and the tv system rubbish,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,Airline Quality Airline,aerolineas-argentinas,,Economy Class,,,,,,,1,,,3,,,,,,,1,,,,,1,,,,,,2,2,no,28th January 2012,6 hours delay from Auckland to Buenos Aires and 5 hours delay from Buenos Aires to Auckland. Food was not good the seats were uncomfortable and the TV system rubbish. Staff were not friendly with little customer service skills.,staff were not friendly with little customer service skills,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,
37,Airline Quality Airline,aerolineas-argentinas,,Economy Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,na,no,29th August 2011,Three days of delay (Buenos Aires-Madrid). The aircraft is in poor condition and the airline personnel are not helpful. They won't even give passengers an explanation for the delay and told us to file our complaints online.,three days of delay (buenos aires-madrid),0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,
38,Airline Quality Airline,aerolineas-argentinas,,Economy Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,na,no,29th August 2011,Three days of delay (Buenos Aires-Madrid). The aircraft is in poor condition and the airline personnel are not helpful. They won't even give passengers an explanation for the delay and told us to file our complaints online.,the aircraft is in poor condition and the airline personnel are not helpful,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,
39,Airline Quality Airline,aerolineas-argentinas,,Economy Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,na,no,29th August 2011,Three days of delay (Buenos Aires-Madrid). The aircraft is in poor condition and the airline personnel are not helpful. They won't even give passengers an explanation for the delay and told us to file our complaints online.,they won't even give passengers an explanation for the delay and told us to file our complaints online,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,
40,Airline Quality Airline,aerolineas-argentinas,,Economy Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,na,no,22nd May 2011,The food was basic but acceptable. Astonished by rudeness of the cabin crew no service at all we were not greeted on the aircraft or off. Crew ignored our need for a glass of water my seat was broken no film or music for a 4 hour flight.,the food was basic but acceptable,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,Airline Quality Airline,aerolineas-argentinas,,Economy Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,na,no,22nd May 2011,The food was basic but acceptable. Astonished by rudeness of the cabin crew no service at all we were not greeted on the aircraft or off. Crew ignored our need for a glass of water my seat was broken no film or music for a 4 hour flight.,astonished by rudeness of the cabin crew no service at all we were not greeted on the aircraft or off,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,
42,Airline Quality Airline,aerolineas-argentinas,,Economy Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,na,no,22nd May 2011,The food was basic but acceptable. Astonished by rudeness of the cabin crew no service at all we were not greeted on the aircraft or off. Crew ignored our need for a glass of water my seat was broken no film or music for a 4 hour flight.,crew ignored our need for a glass of water my seat was broken no film or music for a 4 hour flight,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,Airline Quality Airline,aerolineas-argentinas,,Economy Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,na,no,26th July 2010,Buenos Aires to Madrid - flight delayed 9 hours. Then 15 days later I flew from Rome to Buenos Aires the flight was again delayed 10 hours.,buenos aires to madrid - flight delayed 9 hours,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,
44,Airline Quality Airline,aerolineas-argentinas,,Economy Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,na,no,26th July 2010,Buenos Aires to Madrid - flight delayed 9 hours. Then 15 days later I flew from Rome to Buenos Aires the flight was again delayed 10 hours.,then 15 days later i flew from rome to buenos aires the flight was again delayed 10 hours,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,
45,Airline Quality Airline,aeromexico,,Economy Class,,Business,,October 2015,,Tijuana to México City,4,,,1,4,,,,,1,4,,,,,3,,,,,,3,7,yes,10th November 2015,In general good service  but we don't have much options for flights in Mexico. Staff service was friendly  entertainment service was fine but we don't have wifi onboard Aeromexico flights. The worst was the food and beverage service.,in general good service  but we don't have much options for flights in mexico,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
46,Airline Quality Airline,aeromexico,,Economy Class,,Business,,October 2015,,Tijuana to México City,4,,,1,4,,,,,1,4,,,,,3,,,,,,3,7,yes,10th November 2015,In general good service  but we don't have much options for flights in Mexico. Staff service was friendly  entertainment service was fine but we don't have wifi onboard Aeromexico flights. The worst was the food and beverage service.,staff service was friendly  entertainment service was fine but we don't have wifi onboard aeromexico flights,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
47,Airline Quality Airline,aeromexico,,Economy Class,,Business,,October 2015,,Tijuana to México City,4,,,1,4,,,,,1,4,,,,,3,,,,,,3,7,yes,10th November 2015,In general good service  but we don't have much options for flights in Mexico. Staff service was friendly  entertainment service was fine but we don't have wifi onboard Aeromexico flights. The worst was the food and beverage service.,the worst was the food and beverage service,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,Airline Quality Airline,aeromexico,,Economy Class,,Business,,October 2015,,MEX to GRU,2,,,1,3,,,,,,4,,,,,3,,,,,,2,7,yes,9th November 2015,Mexico City to Sao Paulo with Aeromexico in Economy class  and the flight was on time. The airplane was quite old  with small screens for entertainment. The breakfast served was poor. The movies offered were new and the seat confortable.,mexico city to sao paulo with aeromexico in economy class  and the flight was on time,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
49,Airline Quality Airline,aeromexico,,Economy Class,,Business,,October 2015,,MEX to GRU,2,,,1,3,,,,,,4,,,,,3,,,,,,2,7,yes,9th November 2015,Mexico City to Sao Paulo with Aeromexico in Economy class  and the flight was on time. The airplane was quite old  with small screens for entertainment. The breakfast served was poor. The movies offered were new and the seat confortable.,the airplane was quite old  with small screens for entertainment,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,Airline Quality Airline,aeromexico,,Economy Class,,Business,,October 2015,,MEX to GRU,2,,,1,3,,,,,,4,,,,,3,,,,,,2,7,yes,9th November 2015,Mexico City to Sao Paulo with Aeromexico in Economy class  and the flight was on time. The airplane was quite old  with small screens for entertainment. The breakfast served was poor. The movies offered were new and the seat confortable.,the breakfast served was poor,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,Airline Quality Airline,aeromexico,,Economy Class,,Business,,October 2015,,MEX to GRU,2,,,1,3,,,,,,4,,,,,3,,,,,,2,7,yes,9th November 2015,Mexico City to Sao Paulo with Aeromexico in Economy class  and the flight was on time. The airplane was quite old  with small screens for entertainment. The breakfast served was poor. The movies offered were new and the seat confortable.,the movies offered were new and the seat confortable,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,Airline Quality Airline,aeromexico,,Economy Class,,Solo Leisure,,October 2015,,Mexico to Buenos Aires,5,,,5,5,,,,,,,,,,,4,,,,,,5,1,yes,22nd October 2015,Excellent Aeromexico flight from Mexico to Buenos Aires  and punctual. Outstanding service onboard  carefully prepared food which is excellent quality and quantity.,excellent aeromexico flight from mexico to buenos aires  and punctual,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,
53,Airline Quality Airline,aeromexico,,Economy Class,,Solo Leisure,,October 2015,,Mexico to Buenos Aires,5,,,5,5,,,,,,,,,,,4,,,,,,5,1,yes,22nd October 2015,Excellent Aeromexico flight from Mexico to Buenos Aires  and punctual. Outstanding service onboard  carefully prepared food which is excellent quality and quantity.,outstanding service onboard  carefully prepared food which is excellent quality and quantity,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,
